"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"18","RT @SahilBulla: Judge: We are sending you to jail for 10 years.
Gurmeet Ram Rahim: Could I get a shorter sentence?
Judge: U going to jail.…",FALSE,0,NA,2017-08-29 13:54:30,FALSE,NA,"902529899402936320",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","SansareHarshada",253,TRUE,FALSE,NA,NA
"19","Ram Rahim gets 20 years in jail: Rahul Qs PM’s Silence on China:: https://t.co/CJ2P1q64lR via @YouTube",FALSE,0,NA,2017-08-29 13:54:30,FALSE,NA,"902529896190287872",NA,"<a href=""http://www.google.com/"" rel=""nofollow"">Google</a>","newsanalysisind",0,FALSE,FALSE,NA,NA
"20","RT @pbhushan1: Shocking!Murder case of manager of Fraudman was closed after CBI replaced upright officer. Now pending for yrs in HC
https:/…",FALSE,0,NA,2017-08-29 13:54:23,FALSE,NA,"902529868230836224",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","bokaariya",383,TRUE,FALSE,NA,NA
"21","RT @pbhushan1: Watch:Ram Rahim be shifted to jail outside Haryana.Sakshi must be booked. No more Politicos using religion for votes
https:/…",FALSE,0,NA,2017-08-29 13:54:07,FALSE,NA,"902529800257945601",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","spccmvjc",17,TRUE,FALSE,NA,NA
"22","RT @tiwaridiwakar_: #RamRahimSingh convicted in rape case for sexually exploiting 2female disciples by CBI court. Don't say 'Baba' him. htt…",FALSE,0,NA,2017-08-29 13:54:06,FALSE,NA,"902529798894784513",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Rajusardar89452",96,TRUE,FALSE,NA,NA
"23","RT @SwarajyaMag: Deras flourish by providing solace and dignity to lower castes marginalised by mainstream Sikh &amp; Hindu traditions. 

https…",FALSE,0,NA,2017-08-29 13:54:03,FALSE,NA,"902529784273551360",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","anand153",62,TRUE,FALSE,NA,NA
"24","@abpnewshindi @abpanandatv @ndtv 
Ok..NOW time 2 get it straight b4 any hitting out #CongressKaBaba https://t.co/Vdw2gm4xAr via @indiatoday",FALSE,0,"abpnewshindi",2017-08-29 13:53:59,FALSE,NA,"902529768058441730","333888813","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","sdnan",0,FALSE,FALSE,NA,NA
"25","RT @pbhushan1: Watch:Ram Rahim be shifted to jail outside Haryana.Sakshi must be booked. No more Politicos using religion for votes
https:/…",FALSE,0,NA,2017-08-29 13:53:58,FALSE,NA,"902529762043629568",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","sonali221086",17,TRUE,FALSE,NA,NA
"26","RT @ranjanakumari: Amended Sexual assault Law stipulate quantum of punishment to full life than why 10 yrs to This fraud Baba Ram Rahim?",FALSE,0,NA,2017-08-29 13:53:54,FALSE,NA,"902529746675707904",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","commupolicing",9,TRUE,FALSE,NA,NA
"27","RT @kavita_krishnan: Senior advocate in SC, @governorswaraj tweeted defending marital rape + hinting that Ram Rahim was being punished for…",FALSE,0,NA,2017-08-29 13:53:47,FALSE,NA,"902529717865197568",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","alishamerchant_",63,TRUE,FALSE,NA,NA
"28","RT @pbhushan1: Watch:Ram Rahim be shifted to jail outside Haryana.Sakshi must be booked. No more Politicos using religion for votes
https:/…",FALSE,0,NA,2017-08-29 13:53:47,FALSE,NA,"902529717135261696",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","biplab_2008",17,TRUE,FALSE,NA,NA
"29","RT @arjunmodhwadia: .@BJP4India ' #Dronacharya #BabaRamRahim! Why all tainted Babas are their Gurus! https://t.co/v8lgJs0LT1",FALSE,0,NA,2017-08-29 13:53:39,FALSE,NA,"902529683769614337",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","IsmailRaj12",123,TRUE,FALSE,NA,NA
"30","RT @CNNnews18: #VIDEO -- The CBI judge who took over the case in 2002 and settled it in 61 hearings, holding Ram Rahim guilty.
https://t.co…",FALSE,0,NA,2017-08-29 13:53:37,FALSE,NA,"902529674537869315",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","saloni202020",20,TRUE,FALSE,NA,NA
"31","RT @SahilBulla: Judge: We are sending you to jail for 10 years.
Gurmeet Ram Rahim: Could I get a shorter sentence?
Judge: U going to jail.…",FALSE,0,NA,2017-08-29 13:53:36,FALSE,NA,"902529672608706560",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","prabhakar_anish",253,TRUE,FALSE,NA,NA
"32","RT @jyotipunwani: Bhakts say: SC TT verdict? Thank Modi. CBI court Ram Rahim verdict? Thank Modi. So Col Purohit bail by SC? Shld we thank…",FALSE,0,NA,2017-08-29 13:53:35,FALSE,NA,"902529667499831298",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ismailbinsa",15,TRUE,FALSE,NA,NA
"33","Son rise at Dera: Day after 20-yr jail to Gurmit Ram Rahim, his son Jasmit Singh,31,appointed administrator of Sacha Sauda empire @htTweets",FALSE,0,NA,2017-08-29 13:53:33,FALSE,NA,"902529660742860802",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","vinayak_ramesh",0,FALSE,FALSE,NA,NA
"34","RT @Vidyut: Godmen never believe in god. They are all in on the scam. Or they wouldn't do these things. All these buggers should sit with R…",FALSE,0,NA,2017-08-29 13:53:27,FALSE,NA,"902529635216351232",NA,"<a href=""http://www.twitter.com"" rel=""nofollow"">Twitter for Windows</a>","Harsh_Doshi96",9,TRUE,FALSE,NA,NA
"35","RT @pbhushan1: Watch:Ram Rahim be shifted to jail outside Haryana.Sakshi must be booked. No more Politicos using religion for votes
https:/…",FALSE,0,NA,2017-08-29 13:53:27,FALSE,NA,"902529634910142464",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","anilbrahmdatt",17,TRUE,FALSE,NA,NA
"36","RT @AudreyTruschke: Hindi front pages: In Ram Rahim headlines, the missing word was 'rape’ https://t.co/kQziVNVguX via @scroll_in #rape #Ra…",FALSE,0,NA,2017-08-29 13:53:24,FALSE,NA,"902529619055620104",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Varunzview",5,TRUE,FALSE,NA,NA
"37","RT @sagarcasm: Until yesterday nobody knew that Ram Rahim's Dera campus has malls, resorts, guns and rifles. It was Hairy Potter &amp; his Cham…",FALSE,0,NA,2017-08-29 13:53:22,FALSE,NA,"902529613678632960",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","gauravktiwari",123,TRUE,FALSE,NA,NA
"38","RT @ajplus: Gurmeet Ram Rahim Singh, a popular spiritual guru, has been sentenced to 10 years for rape. Here’s what happened: https://t.co/…",FALSE,0,NA,2017-08-29 13:53:18,FALSE,NA,"902529596691795968",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ambitious_kayy",1025,TRUE,FALSE,NA,NA
"39","RT @pbhushan1: Watch:Ram Rahim be shifted to jail outside Haryana.Sakshi must be booked. No more Politicos using religion for votes
https:/…",FALSE,0,NA,2017-08-29 13:53:11,FALSE,NA,"902529564689104896",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","kmannan522",17,TRUE,FALSE,NA,NA
"40","RT @IndianExpress: #ExpressFrontPage An estimated 19 of 47 BJP MLAs had gone to pay obeisance to the Dera chief after poll win in 2014
http…",FALSE,0,NA,2017-08-29 13:53:09,FALSE,NA,"902529556132749313",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ShyamLalAggarw1",478,TRUE,FALSE,NA,NA
"41","This man, @governorswaraj is the husband of cabinet minister @SushmaSwaraj. You can see him openly supporting marit… https://t.co/dFkvP1gTPt",FALSE,0,NA,2017-08-29 13:53:07,TRUE,NA,"902529548893339649",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","iJasOberoi",1,FALSE,FALSE,NA,NA
"42","RT @kavita_krishnan: Senior advocate in SC, @governorswaraj tweeted defending marital rape + hinting that Ram Rahim was being punished for…",FALSE,0,NA,2017-08-29 13:52:54,FALSE,NA,"902529493964734464",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","dhruvrastogi04",63,TRUE,FALSE,NA,NA
"43","RT @GargiRawat: @ashokepandit Actually end of Ram Rahim started with the Punjab Haryana High Court, who ordered probe after anonymous lette…",FALSE,0,NA,2017-08-29 13:52:49,FALSE,NA,"902529473454604288",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","brarkaran_",208,TRUE,FALSE,NA,NA
